"A1070","ARYA KANYA MAHAVIDYALAYA"
"H1073","DEBIPUR STATION HIGH SCHOOL"
"H1136","MAHATA HIGH SCHOOL"
"H1169","RADHAKANTAPUR  HIGH SCHOOL"
"H1223","BHATAR GIRLS HIGH SCHOOL"
"H1263","AMARPUR B A GIRLS' HIGH SCHOOL"
"H1268","ADARSHA BALIKA VIDYALAYA"
"H2005","ASANSOL DAYANAND ANGLO-VEDIC HIGH SCHOOL"
"H3033","KANKURIA DESHBANDHU HIGH SCHOOL"
"H3082","SRIRAMPUR BHABATARINI ROY GIRLS HIGH SCHOOL"
"H4048","MATHRUN NABIN CHANDRA INSTITUTION"
"I1113","RADHACHARAN  MEMORIAL INSTITUTE (ENG MED)"
"I1120","SAHAPUR SITANATH HIGH SCHOOL"
"I1157","B K T P P PRABIR SENGUPTA VIDYALAYA"
"I2092","TARAPITH ROAD BAMDEV VIDYAPITH"
"I2130","BHADISWAR SHYAMAPADA ROY VIDYABHABAN(HIGH SCHOOL)"
"J1237","NAM-ANCHURI SWASTIK SMRITI GIRLS' HIGH SCHOOL"
"J2043","KUSHADWIP MAKHANLAL VIDYAMANDIR"
"J2044","KUSUMBANI JAMUNADAS KHEMKA HIGH SCHOOL"
"K1118","MANBHUM VICTORIA INSTITUTION"
"L1017","BAKHRABAD BHARATI VIDYAPITH"
"L1092","HOOMGARH CHANDABILA HIGH SCHOOL"
"L1108","KALIAPARA RAMKRISHNA VIDYABHABAN"
"L1263","KESIARY KANYA VIDYAPITH"
"L4024","JALSARA RAMKRISHNA HIGH SCHOOL"
"L4074","TEARBERIA JAGANNATHPUR TRAILAKYA RAMANATH HIGH SCHOOL"
"L5006","BANPURA TARAKNATH HIGH SCHOOL"
"L5078","JHARGRAM SRI RAMKRISHNA SARADAPITH GIRLS HIGH SCHOOL"
"M2038","GORUBATHAN HIGH SCHOOL"
"M3014","MITHAIDARA RENUKA KANYA UCHCHA VIDYALAYA FOR GIRLS"
"M3016","RAMKRISHNA HIGH SCHOOL FOR GIRLS"
"M3024","I N A MEMORIAL HIGH SCHOOL"
"M4051","ST MARYS GIRLS HIGH SCHOOL"
"N1026","DAUKIMARI D N HIGH SCHOOL"
"N1122","SUNITIBALA SADAR GIRLS HIGH SCHOOL"
"N1162","BHUSKADANGA BHOLANATH HIGH SCHOOL"
"N2054","SANKAR NEPALI HIGH SCHOOL"
"O4011","ICHHAGANJ SUKURCHAND HIGH SCHOOL"
"P1029","ITAHAR HIGH SCHOOL"
"P1097","BAIDARA JANAKALYAN HIGH SCHOOL"
"P1101","DURGAPUR BALIKA VIDYALAYA(HIGH SCHOOL)"
"P2027","PATAGORA HIGH SCHOOL"
"Q1001","ADIBASHI K M S VIDYAPITH"
"Q1093","RAJIBPUR HOLY CROSS GIRLS HIGH SCHOOL"
"Q2008","KHAYERBARI BALIHARA HIGH SCHOOL"
"R1017","BAMANGOLA HIGH SCHOOL"
"R1124","RAHUTARA ST THOMAS HIGH SCHOOL"
"T1143","VIVEKANANDA ENGLISH ACADEMY(HIGH SCHOOL)"
"U1015","BRAHMANDIHA HIGH SCHOOL"
"V3050","DHANYASRI K.C.HIGH SCHOOL"
"V3086","JOYNAGAR HIGH SCHOOL"
"V3098","KESHABPUR JALPAI GADADHAR JOGENDRA MILAN VIDYAPITH"
"V3165","SUTAHATA JANAKALYAN SIKSHANIKETAN"
"V3202","NAIKURI DHARANIDHAR BALIKA VIDYALAYA"
"V3215","URURI JAGANNATH SMRITI BALIKA VIDYAPITH"
"V3236","SULTANPUR STREE SIKSHANIKETAN"

